epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.17447,1.13215,2.39049,1.36991,0.36582,0.63883,0.44722,0.33398,1.01699,3.60051,1.16949,0.00040012,0.00040012,0.00040012
2,15.7114,0.91567,1.24981,1.12705,0.44971,0.49693,0.4713,0.32338,1.17215,3.88464,1.3193,0.000806466,0.000806466,0.000806466
3,22.1747,0.94538,1.11868,1.16095,0.48768,0.52643,0.48777,0.33593,1.18461,2.94903,1.27875,0.00120461,0.00120461,0.00120461
4,28.5896,0.9191,1.04996,1.16448,0.49602,0.45682,0.40439,0.26414,1.325,2.02274,1.38872,0.00138656,0.00138656,0.00138656
5,35.0197,0.89449,0.96767,1.14204,0.72736,0.44056,0.51429,0.32179,1.33383,2.58243,1.40868,0.00137241,0.00137241,0.00137241
6,41.5586,0.85263,0.84002,1.12127,0.53245,0.57926,0.56814,0.3844,1.19492,1.72738,1.31412,0.00135826,0.00135826,0.00135826
7,48.0571,0.82851,0.79723,1.10062,0.62488,0.57946,0.6182,0.42499,1.09535,1.30406,1.23695,0.00134412,0.00134412,0.00134412
8,54.6778,0.80661,0.74387,1.10734,0.66986,0.65833,0.65114,0.4617,1.09101,1.26885,1.25829,0.00132997,0.00132997,0.00132997
9,61.2296,0.77396,0.72737,1.08571,0.60822,0.59802,0.60252,0.41753,1.07489,1.43609,1.21417,0.00131582,0.00131582,0.00131582
10,67.7506,0.76473,0.7024,1.07509,0.55727,0.71411,0.67118,0.4774,1.02446,1.32118,1.21582,0.00130168,0.00130168,0.00130168
11,74.2716,0.75852,0.69007,1.07166,0.61095,0.69005,0.66995,0.50063,1.03426,1.14377,1.22447,0.00128753,0.00128753,0.00128753
12,80.8894,0.75309,0.69822,1.07965,0.64338,0.5872,0.60865,0.45351,1.01392,1.34566,1.19645,0.00127338,0.00127338,0.00127338
13,87.3642,0.75485,0.6594,1.07436,0.68092,0.68915,0.70319,0.50715,1.02436,1.06384,1.16687,0.00125923,0.00125923,0.00125923
14,93.9064,0.72529,0.63418,1.04266,0.67672,0.69289,0.66973,0.50207,1.01458,1.11084,1.19996,0.00124509,0.00124509,0.00124509
15,100.491,0.7229,0.60302,1.04369,0.62535,0.74467,0.68872,0.51617,0.98792,1.16234,1.19531,0.00123094,0.00123094,0.00123094
16,107.348,0.68387,0.60894,1.02979,0.72493,0.71656,0.74503,0.56087,0.99968,0.97878,1.17486,0.00121679,0.00121679,0.00121679
17,114.152,0.67922,0.57001,1.02321,0.66981,0.71318,0.68604,0.51936,0.96194,1.18291,1.16162,0.00120265,0.00120265,0.00120265
18,120.67,0.67659,0.59797,1.03188,0.6583,0.65251,0.66448,0.47167,1.08812,1.15218,1.27524,0.0011885,0.0011885,0.0011885
19,127.028,0.66209,0.56452,1.02576,0.70051,0.62132,0.68976,0.50526,1.04652,1.12642,1.26222,0.00117435,0.00117435,0.00117435
20,133.609,0.65716,0.55406,1.01473,0.77861,0.6724,0.71928,0.53338,0.97093,1.0109,1.15511,0.00116021,0.00116021,0.00116021
21,140.382,0.65398,0.55166,1.01169,0.6806,0.74531,0.71941,0.53064,0.95459,1.0293,1.13803,0.00114606,0.00114606,0.00114606
22,146.821,0.61733,0.51778,0.99927,0.71715,0.72086,0.72663,0.54185,0.99806,1.0317,1.18454,0.00113191,0.00113191,0.00113191
23,153.164,0.59962,0.49641,0.98135,0.69355,0.74384,0.74833,0.54947,1.01864,0.98392,1.22289,0.00111776,0.00111776,0.00111776
24,159.645,0.60095,0.51294,0.99677,0.76269,0.71633,0.74754,0.56263,1.01216,0.98876,1.19087,0.00110362,0.00110362,0.00110362
25,166.227,0.58983,0.49724,0.97163,0.68801,0.66901,0.66881,0.50535,1.02971,1.31395,1.24355,0.00108947,0.00108947,0.00108947
26,172.808,0.59313,0.51078,0.98697,0.66603,0.75699,0.72804,0.52281,1.06173,0.98837,1.21511,0.00107532,0.00107532,0.00107532
27,179.177,0.5776,0.48764,0.97283,0.64381,0.74162,0.71353,0.51574,1.03909,1.10788,1.21886,0.00106118,0.00106118,0.00106118
28,185.546,0.58057,0.47792,0.97836,0.77531,0.63771,0.69375,0.47984,1.06614,1.07958,1.26652,0.00104703,0.00104703,0.00104703
29,191.997,0.57611,0.49023,0.9823,0.66143,0.70304,0.68763,0.525,0.9842,1.03807,1.22542,0.00103288,0.00103288,0.00103288
30,198.414,0.55842,0.45392,0.97138,0.77556,0.74949,0.78275,0.57759,1.0012,0.83985,1.21344,0.00101873,0.00101873,0.00101873
31,204.956,0.55628,0.44648,0.97273,0.81703,0.70332,0.77393,0.57931,1.00412,0.87927,1.23365,0.00100459,0.00100459,0.00100459
32,211.457,0.54774,0.44052,0.95257,0.69239,0.76857,0.74177,0.55469,1.04767,0.88327,1.24031,0.00099044,0.00099044,0.00099044
33,217.829,0.55065,0.45659,0.96546,0.65937,0.71224,0.70075,0.52444,0.99696,1.0175,1.19205,0.000976293,0.000976293,0.000976293
34,224.226,0.54723,0.45807,0.9528,0.70743,0.74361,0.73516,0.54811,1.03788,0.99538,1.23327,0.000962146,0.000962146,0.000962146
35,230.65,0.54384,0.4533,0.95833,0.76336,0.73605,0.76466,0.5762,0.98161,0.96378,1.20537,0.000947999,0.000947999,0.000947999
36,237.029,0.51086,0.40924,0.94746,0.74343,0.70409,0.72602,0.55028,0.9951,1.07204,1.20971,0.000933851,0.000933851,0.000933851
37,243.418,0.51663,0.42476,0.94283,0.8017,0.72642,0.76164,0.57441,1.00414,0.95708,1.21865,0.000919704,0.000919704,0.000919704
38,249.758,0.51936,0.42803,0.93995,0.67579,0.69816,0.72565,0.55053,0.99231,1.03085,1.2102,0.000905557,0.000905557,0.000905557
39,256.128,0.52083,0.43038,0.95414,0.69485,0.70827,0.75017,0.55691,0.97308,0.91393,1.2197,0.00089141,0.00089141,0.00089141
40,262.633,0.52304,0.42858,0.96035,0.72393,0.74201,0.73798,0.55255,1.00831,0.99344,1.22027,0.000877263,0.000877263,0.000877263
41,269.023,0.51368,0.41746,0.94998,0.73854,0.7846,0.75919,0.56698,0.99798,0.99968,1.18295,0.000863116,0.000863116,0.000863116
42,275.453,0.48329,0.39396,0.93234,0.80145,0.6943,0.75968,0.57963,0.94148,0.86905,1.1678,0.000848969,0.000848969,0.000848969
43,281.956,0.50078,0.42048,0.95206,0.77498,0.68895,0.75892,0.56688,0.99466,0.88093,1.20059,0.000834822,0.000834822,0.000834822
44,288.344,0.48303,0.39124,0.9391,0.79852,0.69825,0.7942,0.59919,0.98029,0.8703,1.20593,0.000820675,0.000820675,0.000820675
45,294.799,0.48184,0.38467,0.93704,0.81516,0.71065,0.77926,0.59358,0.92164,0.89816,1.17636,0.000806528,0.000806528,0.000806528
46,301.172,0.4923,0.39885,0.93317,0.7421,0.76208,0.76796,0.58318,0.94219,0.87512,1.18249,0.00079238,0.00079238,0.00079238
47,307.658,0.45351,0.37464,0.91423,0.78024,0.7707,0.78906,0.59628,0.95894,0.84392,1.20251,0.000778233,0.000778233,0.000778233
48,314.098,0.45927,0.37388,0.92848,0.73919,0.76824,0.76182,0.5852,0.94234,0.89341,1.17611,0.000764086,0.000764086,0.000764086
49,320.551,0.45142,0.35922,0.9227,0.75494,0.72188,0.74741,0.56752,0.98728,0.99853,1.22586,0.000749939,0.000749939,0.000749939
50,327.146,0.45354,0.36777,0.92569,0.74755,0.72262,0.74905,0.56155,0.95312,0.9244,1.19812,0.000735792,0.000735792,0.000735792
51,333.734,0.4413,0.36376,0.90757,0.71956,0.77307,0.77241,0.59136,0.92069,0.89122,1.1553,0.000721645,0.000721645,0.000721645
52,340.354,0.44764,0.36215,0.91779,0.73542,0.72653,0.758,0.57214,0.94506,0.96317,1.17334,0.000707498,0.000707498,0.000707498
53,346.865,0.45241,0.35035,0.92463,0.70073,0.78671,0.77549,0.59919,0.91004,0.90155,1.16947,0.000693351,0.000693351,0.000693351
54,353.382,0.43497,0.35037,0.91893,0.76052,0.72434,0.77346,0.57994,0.96946,0.98655,1.19867,0.000679204,0.000679204,0.000679204
55,359.848,0.42967,0.36048,0.91025,0.81805,0.69508,0.76449,0.58473,0.93171,0.92575,1.17746,0.000665057,0.000665057,0.000665057
56,366.077,0.43971,0.37017,0.92483,0.74803,0.70245,0.75034,0.57939,0.91873,1.02285,1.15069,0.000650909,0.000650909,0.000650909
57,372.415,0.41348,0.34736,0.89794,0.73178,0.73477,0.77712,0.59984,0.91109,0.96977,1.14982,0.000636762,0.000636762,0.000636762
58,379.133,0.42652,0.34588,0.91925,0.77402,0.69237,0.75902,0.59641,0.889,0.96626,1.15298,0.000622615,0.000622615,0.000622615
59,385.574,0.41523,0.34528,0.91379,0.81636,0.69046,0.76537,0.5946,0.92718,1.02974,1.17327,0.000608468,0.000608468,0.000608468
60,391.927,0.39842,0.31938,0.89962,0.79691,0.72405,0.78516,0.60597,0.93116,0.91891,1.16458,0.000594321,0.000594321,0.000594321
