epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8886,1.39722,3.55881,1.58894,0.29761,0.24205,0.20918,0.12951,1.1116,3.62677,1.49108,0.00012861,0.00012861,0.00012861
2,41.1176,0.98298,2.0519,1.26879,0.48236,0.50482,0.48216,0.35132,0.97073,3.13668,1.13044,0.000266134,0.000266134,0.000266134
3,49.6196,0.95,1.5125,1.14953,0.4775,0.6349,0.55146,0.38388,1.07836,3.41025,1.17895,0.000397999,0.000397999,0.000397999
4,59.0876,0.90936,1.27519,1.13007,0.48844,0.66938,0.56786,0.3806,1.11873,2.42151,1.21803,0.000524206,0.000524206,0.000524206
5,69.3675,0.90045,1.20069,1.13,0.5148,0.62922,0.56568,0.39976,1.0569,2.1134,1.2073,0.000644753,0.000644753,0.000644753
6,80.3948,0.8898,1.11282,1.10886,0.58425,0.60153,0.62795,0.44685,1.04645,1.87109,1.16256,0.000759642,0.000759642,0.000759642
7,90.1313,0.86384,1.05254,1.09187,0.49738,0.61473,0.5522,0.40778,1.04014,2.04013,1.14602,0.000868872,0.000868872,0.000868872
8,98.9956,0.82657,0.99425,1.09526,0.57317,0.58568,0.5358,0.34748,1.17652,1.97935,1.34047,0.000972443,0.000972443,0.000972443
9,109.719,0.92265,0.9967,1.15114,0.51775,0.5392,0.47155,0.31668,1.19884,2.0144,1.35212,0.00107036,0.00107036,0.00107036
10,120.616,0.85344,0.90656,1.10259,0.4614,0.26633,0.24457,0.13983,1.58687,2.99954,1.63185,0.00116261,0.00116261,0.00116261
11,133.025,0.81873,0.83786,1.0988,0.3764,0.12029,0.09286,0.04387,1.98196,3.82774,2.28737,0.00114606,0.00114606,0.00114606
12,142.527,0.83857,0.86138,1.11925,0.51377,0.29959,0.31662,0.20156,1.5306,2.66712,1.59951,0.00111776,0.00111776,0.00111776
13,154.101,0.84192,0.86151,1.10808,0.60142,0.25398,0.24983,0.14675,1.55656,2.83836,1.65985,0.00108947,0.00108947,0.00108947
14,164.829,0.8723,0.86074,1.13724,0.56782,0.43811,0.42547,0.28854,1.3076,1.999,1.4024,0.00106118,0.00106118,0.00106118
15,176.987,0.77785,0.76741,1.0717,0.46731,0.54863,0.43109,0.29965,1.15587,1.97299,1.32396,0.00103288,0.00103288,0.00103288
16,187.484,0.78148,0.79302,1.07308,0.63344,0.6325,0.62322,0.42716,1.1054,1.3274,1.2549,0.00100459,0.00100459,0.00100459
17,199.697,0.76469,0.7461,1.07985,0.63451,0.67985,0.67126,0.46556,1.09558,1.25202,1.24241,0.000976293,0.000976293,0.000976293
18,209.121,0.80119,0.71511,1.0856,0.61387,0.77989,0.70644,0.50089,1.02445,1.09419,1.18187,0.000947999,0.000947999,0.000947999
19,221.793,0.71931,0.68342,1.06199,0.65073,0.68644,0.69249,0.4881,1.02329,1.0478,1.19463,0.000919704,0.000919704,0.000919704
20,232.097,0.72939,0.70484,1.04855,0.71667,0.69112,0.70537,0.50751,0.99524,1.18703,1.16748,0.00089141,0.00089141,0.00089141
21,244.514,0.75389,0.68379,1.04506,0.64062,0.744,0.74039,0.53194,0.97407,1.11931,1.15223,0.000863116,0.000863116,0.000863116
22,255.018,0.74383,0.6522,1.05953,0.70072,0.68788,0.70838,0.49706,1.0182,1.09278,1.17194,0.000834822,0.000834822,0.000834822
23,267.583,0.73971,0.64953,1.03391,0.71547,0.69195,0.7053,0.50981,0.99784,1.08909,1.16514,0.000806528,0.000806528,0.000806528
24,277.685,0.70275,0.64513,1.02607,0.67315,0.66104,0.69696,0.50985,1.0154,1.19165,1.16325,0.000778233,0.000778233,0.000778233
25,288.674,0.68164,0.61556,1.0257,0.61259,0.72013,0.69268,0.51039,0.99424,1.20272,1.17862,0.000749939,0.000749939,0.000749939
26,299.608,0.69621,0.62235,1.04176,0.70979,0.61372,0.65841,0.49713,0.97612,1.22374,1.16069,0.000721645,0.000721645,0.000721645
27,311.019,0.7135,0.65267,1.04109,0.69815,0.62913,0.66249,0.4975,0.99027,1.20029,1.1617,0.000693351,0.000693351,0.000693351
28,322.741,0.6472,0.57102,0.99842,0.66135,0.66486,0.67196,0.49754,0.99733,1.12143,1.16143,0.000665057,0.000665057,0.000665057
29,334.548,0.65428,0.54652,1.00362,0.68617,0.70838,0.69774,0.52447,0.96919,1.0199,1.14657,0.000636762,0.000636762,0.000636762
30,345.641,0.65663,0.57167,0.99437,0.66894,0.76383,0.71467,0.53422,0.9712,1.06847,1.16156,0.000608468,0.000608468,0.000608468
31,356.568,0.62861,0.53203,0.98453,0.67405,0.71177,0.7336,0.55355,0.94468,1.01437,1.14732,0.000580174,0.000580174,0.000580174
32,367.128,0.64306,0.55087,1.01298,0.71143,0.748,0.73229,0.55268,0.97307,0.92485,1.15667,0.00055188,0.00055188,0.00055188
33,378.144,0.64169,0.54363,0.99142,0.75681,0.72243,0.75271,0.56826,0.9435,0.92178,1.14288,0.000523586,0.000523586,0.000523586
34,389.913,0.62778,0.51767,0.99844,0.7591,0.75258,0.76384,0.58066,0.92081,0.92357,1.11091,0.000495291,0.000495291,0.000495291
35,400.476,0.63595,0.55627,1.01253,0.78495,0.72452,0.77329,0.58766,0.92357,0.90088,1.11173,0.000466997,0.000466997,0.000466997
36,411.85,0.5846,0.48566,0.96773,0.76481,0.75958,0.77527,0.59532,0.92705,0.92123,1.11753,0.000438703,0.000438703,0.000438703
37,423.177,0.58989,0.49224,0.98609,0.78387,0.74742,0.77701,0.58777,0.94255,0.93534,1.12812,0.000410409,0.000410409,0.000410409
38,433.964,0.56094,0.48072,0.96309,0.71159,0.74644,0.74499,0.56052,0.96962,0.99072,1.15,0.000382115,0.000382115,0.000382115
39,444.137,0.57376,0.51362,0.98347,0.67619,0.74111,0.73027,0.55057,0.95137,0.99334,1.1455,0.00035382,0.00035382,0.00035382
40,455.766,0.56645,0.46215,0.96099,0.72298,0.75106,0.78097,0.59763,0.91652,0.93182,1.13138,0.000325526,0.000325526,0.000325526
41,485.239,0.47808,0.40189,0.91288,0.7828,0.70477,0.77707,0.58721,0.91921,0.8804,1.14558,0.000297232,0.000297232,0.000297232
42,499.447,0.45425,0.34613,0.8982,0.71257,0.77383,0.78466,0.59556,0.91097,0.87415,1.15427,0.000268938,0.000268938,0.000268938
