epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.36744,1.55452,2.66834,1.67163,0.51998,0.48057,0.46564,0.29846,1.13869,3.56618,1.19141,0.00040012,0.00040012,0.00040012
2,15.7259,1.4055,1.79297,1.42904,0.49159,0.51603,0.48731,0.29115,1.30751,2.5087,1.29533,0.000806466,0.000806466,0.000806466
3,21.8346,1.31682,1.48866,1.41281,0.39151,0.36251,0.34077,0.22685,1.46416,2.39251,1.57817,0.00120461,0.00120461,0.00120461
4,27.9065,1.40784,1.38717,1.4895,0.56841,0.46307,0.46768,0.28932,1.42228,1.9778,1.50607,0.00138656,0.00138656,0.00138656
5,33.9685,1.36174,1.34724,1.45694,0.53174,0.46544,0.46762,0.26003,1.50003,2.60812,1.55355,0.00137241,0.00137241,0.00137241
6,40.0333,1.33273,1.25254,1.43623,0.64355,0.49261,0.58051,0.37053,1.34621,1.78087,1.44116,0.00135826,0.00135826,0.00135826
7,46.1265,1.29315,1.18209,1.38374,0.75332,0.37088,0.4894,0.26871,1.60504,2.12727,1.59001,0.00134412,0.00134412,0.00134412
8,52.1001,1.2464,1.10859,1.36625,0.69096,0.57245,0.63833,0.42213,1.24443,1.38869,1.30673,0.00132997,0.00132997,0.00132997
9,58.16,1.22737,1.0564,1.36154,0.59166,0.71268,0.68902,0.46411,1.20584,1.31934,1.26707,0.00131582,0.00131582,0.00131582
10,64.1786,1.19738,1.0131,1.32579,0.58565,0.71592,0.65396,0.43808,1.21348,1.22541,1.25492,0.00130168,0.00130168,0.00130168
11,70.0898,1.19218,0.98964,1.32837,0.54386,0.61892,0.6181,0.39289,1.31867,1.37151,1.35639,0.00128753,0.00128753,0.00128753
12,76.0756,1.17557,0.96283,1.31959,0.643,0.68971,0.66379,0.40057,1.47552,1.27043,1.44376,0.00127338,0.00127338,0.00127338
13,82.0041,1.17777,0.96929,1.31543,0.64606,0.61387,0.60303,0.37658,1.38981,1.43316,1.38871,0.00125923,0.00125923,0.00125923
14,87.9575,1.14877,0.92549,1.32786,0.6432,0.64702,0.64277,0.44744,1.12378,1.30841,1.23089,0.00124509,0.00124509,0.00124509
15,93.8587,1.10934,0.88501,1.2844,0.69244,0.72428,0.71457,0.47843,1.21526,1.10812,1.30171,0.00123094,0.00123094,0.00123094
16,99.8815,1.12412,0.89717,1.32415,0.73501,0.68341,0.74738,0.4198,1.45155,1.16028,1.44727,0.00121679,0.00121679,0.00121679
17,105.804,1.12179,0.87965,1.28835,0.72255,0.71916,0.72169,0.41907,1.38701,1.09928,1.4134,0.00120265,0.00120265,0.00120265
18,111.793,1.11993,0.89461,1.30458,0.68728,0.64184,0.71745,0.42799,1.42836,1.16179,1.39442,0.0011885,0.0011885,0.0011885
19,117.754,1.03997,0.80874,1.24356,0.66006,0.60792,0.63408,0.38221,1.5784,1.28197,1.50629,0.00117435,0.00117435,0.00117435
20,123.736,1.02349,0.78936,1.24051,0.70167,0.62787,0.68101,0.43137,1.43553,1.24182,1.44461,0.00116021,0.00116021,0.00116021
21,129.705,1.04343,0.79076,1.22989,0.68704,0.70368,0.7408,0.50351,1.15705,1.02884,1.2661,0.00114606,0.00114606,0.00114606
22,135.836,0.99222,0.7752,1.2184,0.64628,0.77015,0.71095,0.44154,1.34073,1.03438,1.35153,0.00113191,0.00113191,0.00113191
23,141.764,1.00289,0.74825,1.22761,0.75058,0.60442,0.7062,0.46039,1.35668,1.0722,1.39935,0.00111776,0.00111776,0.00111776
24,147.751,1.01859,0.74861,1.22244,0.76741,0.70272,0.75603,0.50605,1.23501,1.01539,1.3417,0.00110362,0.00110362,0.00110362
25,153.778,0.97907,0.73794,1.21001,0.74588,0.73244,0.72559,0.50305,1.18048,1.05969,1.28568,0.00108947,0.00108947,0.00108947
26,159.726,0.94944,0.69678,1.18055,0.6952,0.77318,0.72546,0.44602,1.38559,1.04832,1.41236,0.00107532,0.00107532,0.00107532
27,165.773,0.93385,0.68415,1.18262,0.65594,0.74439,0.70332,0.42847,1.4696,1.09886,1.45623,0.00106118,0.00106118,0.00106118
28,171.853,0.92021,0.66998,1.16453,0.68559,0.69131,0.67634,0.35043,1.67019,1.1034,1.653,0.00104703,0.00104703,0.00104703
