epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,73.6197,0.56118,0.63992,0.73244,0.72173,0.67263,0.70375,0.49067,0.69735,0.90601,0.77997,0.00131333,0.00131333,0.00131333
43,75.5219,0.50871,0.56337,0.71589,0.66641,0.72969,0.69653,0.48534,0.73569,0.92835,0.80269,0.00131051,0.00131051,0.00131051
44,77.0267,0.50884,0.56904,0.72048,0.72676,0.6528,0.6544,0.45983,0.72237,1.00377,0.80807,0.00130769,0.00130769,0.00130769
45,78.522,0.51075,0.56299,0.72283,0.7259,0.64567,0.67718,0.50305,0.70082,0.97697,0.78992,0.00130487,0.00130487,0.00130487
46,80.114,0.51979,0.56662,0.71396,0.69911,0.66229,0.66296,0.47681,0.73866,0.96702,0.81019,0.00130205,0.00130205,0.00130205
47,81.9854,0.50205,0.55615,0.70658,0.76023,0.66766,0.70899,0.52157,0.69836,0.9397,0.8013,0.00129923,0.00129923,0.00129923
48,83.5049,0.52138,0.57962,0.72758,0.66808,0.68347,0.70277,0.51231,0.73797,0.87959,0.81014,0.00129641,0.00129641,0.00129641
49,85.4239,0.52158,0.55482,0.72413,0.64486,0.65427,0.68779,0.52173,0.65377,0.92719,0.76579,0.00129358,0.00129358,0.00129358
50,86.992,0.49187,0.52055,0.70439,0.66856,0.68768,0.73904,0.53783,0.68542,0.86116,0.78742,0.00129076,0.00129076,0.00129076
51,88.4572,0.51299,0.54017,0.71786,0.71974,0.68594,0.73861,0.53007,0.73604,0.86509,0.80915,0.00128794,0.00128794,0.00128794
52,89.9687,0.49569,0.50929,0.70479,0.80403,0.64519,0.74895,0.55023,0.69878,0.8389,0.76841,0.00128512,0.00128512,0.00128512
53,91.9864,0.51087,0.55159,0.7149,0.80486,0.65542,0.73317,0.56555,0.63689,0.82337,0.74485,0.0012823,0.0012823,0.0012823
54,94.035,0.48803,0.51461,0.70597,0.69286,0.65594,0.65775,0.48498,0.67938,0.99186,0.77188,0.00127948,0.00127948,0.00127948
55,96.0782,0.49408,0.50325,0.69912,0.73242,0.66449,0.68848,0.51616,0.65858,0.8645,0.76189,0.00127666,0.00127666,0.00127666
56,98.0431,0.49166,0.52596,0.70594,0.74788,0.68032,0.65503,0.48369,0.66371,0.91396,0.77236,0.00127384,0.00127384,0.00127384
57,100.093,0.50103,0.54126,0.70432,0.68244,0.6942,0.68291,0.49294,0.68277,0.81628,0.77578,0.00127102,0.00127102,0.00127102
58,102.226,0.48337,0.52134,0.70977,0.64567,0.72373,0.68116,0.49405,0.71692,0.81178,0.79438,0.00126819,0.00126819,0.00126819
59,104.105,0.48676,0.49201,0.70865,0.70299,0.64875,0.67036,0.48527,0.67961,0.85006,0.78063,0.00126537,0.00126537,0.00126537
60,105.617,0.49506,0.4993,0.71019,0.66525,0.75085,0.71505,0.47908,0.78136,0.85953,0.81812,0.00126255,0.00126255,0.00126255
61,107.102,0.49171,0.50918,0.69635,0.69617,0.64108,0.69423,0.48079,0.71487,0.87073,0.77678,0.00125973,0.00125973,0.00125973
62,108.746,0.48288,0.51831,0.71016,0.63849,0.73511,0.67255,0.4691,0.73908,0.89855,0.7947,0.00125691,0.00125691,0.00125691
63,110.877,0.45509,0.48812,0.68852,0.7233,0.71539,0.72477,0.53183,0.69681,0.83812,0.78345,0.00125409,0.00125409,0.00125409
64,112.825,0.4624,0.49306,0.69512,0.74222,0.67239,0.6806,0.4865,0.73106,0.88793,0.78825,0.00125127,0.00125127,0.00125127
65,114.802,0.49136,0.51462,0.71311,0.69855,0.65694,0.69092,0.48895,0.73848,0.92966,0.81,0.00124845,0.00124845,0.00124845
66,116.833,0.44862,0.47578,0.69512,0.77502,0.65603,0.72007,0.51644,0.6816,0.84646,0.777,0.00124562,0.00124562,0.00124562
67,118.933,0.45456,0.48144,0.68933,0.76962,0.5648,0.64209,0.46756,0.71255,1.14506,0.78419,0.0012428,0.0012428,0.0012428
68,120.671,0.45295,0.49607,0.69068,0.69501,0.6277,0.63537,0.45062,0.7159,1.09361,0.7935,0.00123998,0.00123998,0.00123998
69,122.328,0.45031,0.49051,0.6949,0.71795,0.59177,0.64072,0.46582,0.69858,0.97256,0.7966,0.00123716,0.00123716,0.00123716
70,124.347,0.46949,0.49638,0.70363,0.65702,0.75905,0.7166,0.49699,0.68846,0.8977,0.78452,0.00123434,0.00123434,0.00123434
71,126.521,0.4718,0.48869,0.69884,0.70134,0.71618,0.69645,0.50974,0.67512,0.8213,0.77343,0.00123152,0.00123152,0.00123152
72,128.662,0.48057,0.52219,0.70284,0.63773,0.71401,0.67399,0.48383,0.668,0.90089,0.77082,0.0012287,0.0012287,0.0012287
73,130.738,0.46037,0.49733,0.70565,0.62678,0.73037,0.70063,0.51097,0.6585,0.88031,0.75628,0.00122588,0.00122588,0.00122588
74,132.547,0.44537,0.46747,0.68786,0.66959,0.69613,0.71774,0.50933,0.6997,0.8131,0.77933,0.00122306,0.00122306,0.00122306
75,134.033,0.45927,0.47474,0.69625,0.68304,0.68444,0.71889,0.52183,0.68594,0.75178,0.75872,0.00122023,0.00122023,0.00122023
76,135.89,0.47061,0.4823,0.7076,0.6634,0.69977,0.73284,0.5354,0.68156,0.74973,0.76646,0.00121741,0.00121741,0.00121741
77,137.97,0.45005,0.44817,0.68704,0.66812,0.64012,0.70129,0.52359,0.63335,0.81353,0.76045,0.00121459,0.00121459,0.00121459
78,139.552,0.43925,0.46051,0.68007,0.66965,0.68452,0.71695,0.53497,0.66436,0.73784,0.76982,0.00121177,0.00121177,0.00121177
79,141.025,0.44751,0.44301,0.68833,0.69583,0.74756,0.74551,0.55253,0.67275,0.72148,0.76276,0.00120895,0.00120895,0.00120895
80,142.536,0.45532,0.44661,0.68741,0.705,0.71575,0.73472,0.53504,0.68627,0.8091,0.78418,0.00120613,0.00120613,0.00120613
81,144.526,0.45041,0.45844,0.68878,0.70011,0.68519,0.7498,0.55766,0.66537,0.76041,0.79469,0.00120331,0.00120331,0.00120331
82,146.535,0.43727,0.45131,0.6842,0.83918,0.60359,0.76642,0.55723,0.67322,0.77615,0.78703,0.00120049,0.00120049,0.00120049
83,148.442,0.46141,0.46264,0.69726,0.69349,0.69559,0.71416,0.51894,0.6641,0.81848,0.76065,0.00119766,0.00119766,0.00119766
84,149.925,0.44705,0.45799,0.69391,0.64863,0.74265,0.70231,0.51245,0.65382,0.81394,0.75763,0.00119484,0.00119484,0.00119484
85,151.421,0.42849,0.44876,0.68153,0.75189,0.66921,0.72106,0.51455,0.71258,0.82846,0.78398,0.00119202,0.00119202,0.00119202
86,153.074,0.43238,0.44569,0.68675,0.68116,0.65031,0.66761,0.47359,0.72184,1.00113,0.79972,0.0011892,0.0011892,0.0011892
87,155.011,0.41976,0.44034,0.67897,0.67567,0.67329,0.69219,0.48383,0.70898,0.86019,0.79139,0.00118638,0.00118638,0.00118638
88,156.879,0.45633,0.46208,0.69582,0.64629,0.74985,0.714,0.51458,0.71565,0.79241,0.81355,0.00118356,0.00118356,0.00118356
89,158.345,0.42177,0.45681,0.68376,0.75679,0.624,0.74228,0.52754,0.72742,0.74665,0.82978,0.00118074,0.00118074,0.00118074
90,160.32,0.4409,0.44918,0.68972,0.68178,0.70386,0.75962,0.5447,0.72261,0.74984,0.81563,0.00117792,0.00117792,0.00117792
91,161.883,0.42771,0.41386,0.68884,0.71615,0.72062,0.77118,0.56061,0.69072,0.79553,0.78603,0.0011751,0.0011751,0.0011751
92,163.364,0.42539,0.42535,0.68016,0.71215,0.76744,0.77123,0.58848,0.61816,0.75748,0.7499,0.00117227,0.00117227,0.00117227
93,164.85,0.42306,0.42629,0.6756,0.79266,0.68429,0.74927,0.52041,0.76083,0.75299,0.80633,0.00116945,0.00116945,0.00116945
94,166.823,0.43009,0.43288,0.6856,0.81358,0.62905,0.72405,0.53257,0.64935,0.79113,0.76814,0.00116663,0.00116663,0.00116663
95,168.961,0.41997,0.41376,0.67106,0.72325,0.70711,0.75079,0.55484,0.67306,0.74651,0.77815,0.00116381,0.00116381,0.00116381
96,171.066,0.42018,0.4408,0.67631,0.73138,0.70711,0.78076,0.59789,0.64229,0.69785,0.76046,0.00116099,0.00116099,0.00116099
97,173.078,0.41508,0.43415,0.67736,0.71413,0.72686,0.74378,0.54837,0.63809,0.74004,0.76466,0.00115817,0.00115817,0.00115817
98,175.068,0.41843,0.41346,0.67255,0.68491,0.71348,0.70782,0.52133,0.65833,0.76595,0.77462,0.00115535,0.00115535,0.00115535
99,176.909,0.40365,0.39873,0.67285,0.67719,0.70637,0.71736,0.55326,0.62134,0.83369,0.74801,0.00115253,0.00115253,0.00115253
100,178.385,0.40192,0.39669,0.67409,0.61415,0.74307,0.69638,0.54309,0.61456,0.87181,0.7477,0.00114971,0.00114971,0.00114971
101,180.196,0.42963,0.42595,0.69235,0.60834,0.72563,0.70007,0.54482,0.62298,0.87067,0.74979,0.00114688,0.00114688,0.00114688
102,182.158,0.38815,0.40226,0.67433,0.62596,0.74313,0.70367,0.52574,0.66874,0.90247,0.77862,0.00114406,0.00114406,0.00114406
103,183.766,0.40138,0.39032,0.66958,0.66504,0.69767,0.68916,0.51747,0.66599,0.89902,0.76324,0.00114124,0.00114124,0.00114124
104,185.445,0.41169,0.40335,0.67656,0.70089,0.63085,0.67266,0.50371,0.66698,0.8383,0.76021,0.00113842,0.00113842,0.00113842
105,187.573,0.39441,0.39129,0.67216,0.67371,0.6737,0.67849,0.50197,0.65751,0.83655,0.78724,0.0011356,0.0011356,0.0011356
106,189.601,0.40905,0.41221,0.6742,0.70337,0.68705,0.67989,0.50841,0.65817,0.85161,0.80446,0.00113278,0.00113278,0.00113278
107,191.667,0.41875,0.41207,0.6807,0.783,0.6263,0.73547,0.55172,0.66858,0.761,0.80198,0.00112996,0.00112996,0.00112996
108,193.42,0.38738,0.36818,0.66513,0.7102,0.69211,0.7461,0.56186,0.6767,0.73583,0.79843,0.00112714,0.00112714,0.00112714
109,194.938,0.40167,0.38931,0.68265,0.75149,0.7319,0.75266,0.54981,0.69314,0.74526,0.79468,0.00112431,0.00112431,0.00112431
110,196.865,0.41346,0.38673,0.67349,0.73947,0.75194,0.73441,0.53574,0.68153,0.77151,0.78248,0.00112149,0.00112149,0.00112149
111,198.378,0.38199,0.3751,0.66468,0.72515,0.66951,0.66825,0.49599,0.66175,0.88357,0.75624,0.00111867,0.00111867,0.00111867
112,200.109,0.41052,0.38482,0.6759,0.65154,0.71382,0.70159,0.5033,0.69181,0.94718,0.7727,0.00111585,0.00111585,0.00111585
113,202.09,0.40032,0.4032,0.67099,0.70191,0.63384,0.6844,0.52276,0.64229,0.9456,0.74238,0.00111303,0.00111303,0.00111303
114,204.041,0.39402,0.39254,0.67078,0.66901,0.72183,0.7232,0.55007,0.63819,0.88836,0.74146,0.00111021,0.00111021,0.00111021
115,205.748,0.38653,0.39408,0.66648,0.66719,0.72624,0.70701,0.54808,0.62484,0.85738,0.74605,0.00110739,0.00110739,0.00110739
116,207.355,0.38517,0.39618,0.66987,0.70365,0.67389,0.69578,0.53578,0.65064,0.89712,0.76007,0.00110457,0.00110457,0.00110457
117,209.353,0.39078,0.39068,0.67387,0.78431,0.69276,0.74652,0.57678,0.62818,0.77229,0.769,0.00110175,0.00110175,0.00110175
118,211.358,0.38197,0.37967,0.67189,0.75349,0.71752,0.76517,0.5865,0.64943,0.69756,0.77974,0.00109892,0.00109892,0.00109892
119,213.234,0.39498,0.38521,0.67035,0.66782,0.73453,0.72207,0.57206,0.63844,0.8158,0.77341,0.0010961,0.0010961,0.0010961
120,214.787,0.37645,0.39046,0.65401,0.80147,0.61731,0.71275,0.55759,0.64436,0.82874,0.78734,0.00109328,0.00109328,0.00109328
